FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,CheckSum,DLLCharacteristics,SizeOfInitializedData,SizeOfStackReserve,Label
disk2vhd.exe,28,0.0,1370992,0,5697052,1122418,5,7198898,33088,6877696,1048576,clean
diskext.exe,0,0.0,65404,0,1044,18472,4,147803,0,28672,1048576,clean
Diskmon.exe,0,0.0,84884,0,11944,7610,4,280941,0,159744,1048576,clean
diskpart.exe,28,6.1,123452,0,2120,3424,4,192621,33088,11264,262144,clean
diskperf.exe,28,6.1,14660,0,2096,2500,4,29956,33088,6144,262144,clean
diskraid.exe,28,6.1,262420,179,2112,5256,4,323369,33088,17408,262144,clean
DiskView.exe,28,0.0,243072,0,325672,35490,4,639394,32768,1424384,1048576,clean
Dism.exe,28,6.1,152016,0,28632,222204,4,265081,33088,264704,262144,clean
DismHost.exe,28,6.1,69384,0,4016,101020,4,104512,33088,112640,262144,clean
dispdiag.exe,28,6.1,113256,0,1768,13152,4,158640,33088,24576,262144,clean
DisplaySwitch.exe,28,6.1,33272,0,484328,1212,4,537168,33088,489472,262144,clean
ditrace.exe,28,6.0,221964,0,3756,78216,4,297517,33088,34304,262144,clean
djoin.exe,28,6.1,38396,0,15376,35664,4,108249,33088,55296,262144,clean
dllhost.exe,28,6.1,6900,0,992,888,4,61319,32832,2560,262144,clean
dllhst3g.exe,28,6.1,6900,0,1000,888,4,49516,33088,2560,262144,clean
dmadmin.exe,28,5.1,202652,0,3520,15636,3,274999,32768,19456,262144,clean
dmremote.exe,28,5.1,16432,0,928,52,3,76740,32768,1536,262144,clean
dnscacheugc.exe,28,6.1,24676,0,2080,1064,4,77612,33088,6144,262144,clean
doskey.exe,28,6.1,11900,0,2032,888,4,75870,33088,4096,262144,clean
dpapimig.exe,28,6.1,12604,0,56400,896,4,135385,33088,58880,262144,clean
DpiScaling.exe,28,6.1,6812,0,69760,888,4,137818,33088,72192,262144,clean
dplaysvr.exe,28,6.1,25268,0,2064,1256,4,94168,33088,5632,262144,clean
dpnsvr.exe,28,6.1,29228,0,2056,1412,4,43386,33088,5632,262144,clean
dpvsetup.exe,28,5.1,51320,0,27528,4448,3,126757,32768,32256,262144,clean
driverquery.exe,28,6.1,58748,0,2080,1272,4,81380,33088,7168,262144,clean
